product,city,date,sales
Groceries,S004,01-09-2022,259
Toys,S005,01-09-2022,785
Clothing,S005,01-09-2022,1170
Furniture,S005,01-09-2022,586
Electronics,S005,01-09-2022,1020
Groceries,S005,01-09-2022,152
Electronics,S001,01-10-2022,275
Toys,S001,01-10-2022,531
Groceries,S001,01-10-2022,54
Clothing,S001,01-10-2022,1418
Furniture,S001,01-10-2022,353
Groceries,S002,01-10-2022,915
Toys,S002,01-10-2022,947
Furniture,S002,01-10-2022,158
Clothing,S002,01-10-2022,201
Electronics,S002,01-10-2022,371
Toys,S003,01-10-2022,317
Clothing,S003,01-10-2022,653
Furniture,S003,01-10-2022,945
Groceries,S003,01-10-2022,327
Electronics,S003,01-10-2022,636
Groceries,S004,01-10-2022,874
Clothing,S004,01-10-2022,600
Toys,S004,01-10-2022,236
Furniture,S004,01-10-2022,339
Electronics,S004,01-10-2022,772
Furniture,S005,01-10-2022,1004
Clothing,S005,01-10-2022,323
Electronics,S005,01-10-2022,524
Groceries,S005,01-10-2022,596
Toys,S005,01-10-2022,238
Furniture,S001,01-11-2022,706
Toys,S001,01-11-2022,740
Groceries,S001,01-11-2022,776
Electronics,S001,01-11-2022,413
Clothing,S001,01-11-2022,646
Furniture,S002,01-11-2022,722
Toys,S002,01-11-2022,1256
Electronics,S002,01-11-2022,751
Clothing,S002,01-11-2022,1086
Clothing,S003,01-11-2022,412
Furniture,S003,01-11-2022,775
Groceries,S003,01-11-2022,348
Toys,S003,01-11-2022,475
Electronics,S003,01-11-2022,204
Electronics,S004,01-11-2022,397
Furniture,S004,01-11-2022,717
Groceries,S004,01-11-2022,212
Clothing,S004,01-11-2022,1419
Toys,S004,01-11-2022,114
Clothing,S005,01-11-2022,695
Groceries,S005,01-11-2022,786
Furniture,S005,01-11-2022,292
Electronics,S005,01-11-2022,668
Toys,S005,01-11-2022,256
Toys,S001,01-12-2022,322
Clothing,S001,01-12-2022,310
Groceries,S001,01-12-2022,193
Furniture,S001,01-12-2022,1006
Electronics,S001,01-12-2022,802
Toys,S002,01-12-2022,426
Electronics,S002,01-12-2022,720
Groceries,S002,01-12-2022,160
Clothing,S002,01-12-2022,409
Furniture,S002,01-12-2022,256
Toys,S003,01-12-2022,425
Electronics,S003,01-12-2022,427
Furniture,S003,01-12-2022,562
Groceries,S003,01-12-2022,435
Clothing,S003,01-12-2022,110
Toys,S004,01-12-2022,229
Furniture,S004,01-12-2022,326
Clothing,S004,01-12-2022,954
Groceries,S004,01-12-2022,384
Electronics,S004,01-12-2022,858
Toys,S005,01-12-2022,806
Electronics,S005,01-12-2022,711
Furniture,S005,01-12-2022,68
Clothing,S005,01-12-2022,242
Groceries,S005,01-12-2022,481
Furniture,S001,01-13-2022,392
Groceries,S001,01-13-2022,433
Toys,S001,01-13-2022,1015
Electronics,S001,01-13-2022,245
Clothing,S001,01-13-2022,26
Furniture,S002,01-13-2022,790
Toys,S002,01-13-2022,840
Electronics,S002,01-13-2022,1138
Groceries,S002,01-13-2022,618
Groceries,S003,01-13-2022,572
Electronics,S003,01-13-2022,310
Toys,S003,01-13-2022,174
Furniture,S003,01-13-2022,550
Clothing,S003,01-13-2022,57
Groceries,S004,01-13-2022,627
Toys,S004,01-13-2022,651
Electronics,S004,01-13-2022,145
Clothing,S004,01-13-2022,457
Furniture,S004,01-13-2022,415
Furniture,S005,01-13-2022,1632
Clothing,S005,01-13-2022,611
Toys,S005,01-13-2022,344
Electronics,S005,01-13-2022,599
Groceries,S005,01-13-2022,51
Toys,S001,01-14-2022,1095
Clothing,S001,01-14-2022,438
Groceries,S001,01-14-2022,629
Electronics,S001,01-14-2022,478
Groceries,S002,01-14-2022,768
Electronics,S002,01-14-2022,724
Toys,S002,01-14-2022,188
Furniture,S002,01-14-2022,136
Clothing,S002,01-14-2022,48
Groceries,S003,01-14-2022,510
Clothing,S003,01-14-2022,113
Furniture,S003,01-14-2022,166
Toys,S003,01-14-2022,967
Electronics,S003,01-14-2022,631
Groceries,S004,01-14-2022,904
Toys,S004,01-14-2022,664
Clothing,S004,01-14-2022,451
Electronics,S004,01-14-2022,946
Furniture,S004,01-14-2022,372
Groceries,S005,01-14-2022,730
Furniture,S005,01-14-2022,482
Electronics,S005,01-14-2022,726
Toys,S005,01-14-2022,621
Clothing,S005,01-14-2022,369
Groceries,S001,01-15-2022,211
Clothing,S001,01-15-2022,335
Furniture,S001,01-15-2022,1227
Electronics,S001,01-15-2022,582
Toys,S001,01-15-2022,123
Clothing,S002,01-15-2022,939
Toys,S002,01-15-2022,979
Groceries,S002,01-15-2022,127
Furniture,S002,01-15-2022,620
Clothing,S003,01-15-2022,726
Groceries,S003,01-15-2022,690
Toys,S003,01-15-2022,821
Electronics,S003,01-15-2022,888
Furniture,S003,01-15-2022,382
Clothing,S004,01-15-2022,201
Electronics,S004,01-15-2022,1052
Groceries,S004,01-15-2022,751
Toys,S004,01-15-2022,482
Toys,S005,01-15-2022,783
Groceries,S005,01-15-2022,676
Clothing,S005,01-15-2022,237
Electronics,S005,01-15-2022,290
Furniture,S005,01-15-2022,631
Groceries,S001,01-16-2022,416
Clothing,S001,01-16-2022,1309
Furniture,S001,01-16-2022,1059
Electronics,S001,01-16-2022,488
Toys,S001,01-16-2022,218
Electronics,S002,01-16-2022,536
Clothing,S002,01-16-2022,616
Groceries,S002,01-16-2022,1232
Furniture,S002,01-16-2022,397
Toys,S002,01-16-2022,416
Electronics,S003,01-16-2022,783
Toys,S003,01-16-2022,529
Clothing,S003,01-16-2022,357
Groceries,S003,01-16-2022,492
Furniture,S003,01-16-2022,180
Groceries,S004,01-16-2022,249
Electronics,S004,01-16-2022,674
Furniture,S004,01-16-2022,1394
Clothing,S004,01-16-2022,417
Toys,S004,01-16-2022,457
Furniture,S005,01-16-2022,924
Clothing,S005,01-16-2022,468
Groceries,S005,01-16-2022,1002
Electronics,S005,01-16-2022,448
Toys,S005,01-16-2022,542
Groceries,S001,01-17-2022,487
Toys,S001,01-17-2022,538
Electronics,S001,01-17-2022,628
Clothing,S001,01-17-2022,111
Furniture,S001,01-17-2022,139
Electronics,S002,01-17-2022,564
Furniture,S002,01-17-2022,526
Groceries,S002,01-17-2022,660
Clothing,S002,01-17-2022,882
Toys,S002,01-17-2022,116
Groceries,S003,01-17-2022,803
Clothing,S003,01-17-2022,1485
Electronics,S003,01-17-2022,289
Furniture,S003,01-17-2022,864
Toys,S003,01-17-2022,240
Furniture,S004,01-17-2022,531
Toys,S004,01-17-2022,401
Electronics,S004,01-17-2022,237
Groceries,S004,01-17-2022,917
Clothing,S004,01-17-2022,619
Clothing,S005,01-17-2022,341
Toys,S005,01-17-2022,646
Groceries,S005,01-17-2022,450
Electronics,S005,01-17-2022,589
Furniture,S005,01-17-2022,76
Electronics,S001,01-18-2022,369
Clothing,S001,01-18-2022,278
Toys,S001,01-18-2022,468
Furniture,S001,01-18-2022,615
Groceries,S001,01-18-2022,695
Groceries,S002,01-18-2022,747
Furniture,S002,01-18-2022,1045
Clothing,S002,01-18-2022,706
Electronics,S002,01-18-2022,387
Toys,S002,01-18-2022,72
Groceries,S003,01-18-2022,539
Clothing,S003,01-18-2022,1193
Toys,S003,01-18-2022,398
Furniture,S003,01-18-2022,607
Electronics,S003,01-18-2022,838
Groceries,S004,01-18-2022,684
Electronics,S004,01-18-2022,736
Furniture,S004,01-18-2022,512
Toys,S004,01-18-2022,211
Clothing,S004,01-18-2022,181
Clothing,S005,01-18-2022,118
Groceries,S005,01-18-2022,455
Electronics,S005,01-18-2022,428
Furniture,S005,01-18-2022,1091
Toys,S005,01-18-2022,706
Groceries,S001,01-19-2022,971
Toys,S001,01-19-2022,214
Electronics,S001,01-19-2022,961
Clothing,S001,01-19-2022,85
Furniture,S001,01-19-2022,667
Groceries,S002,01-19-2022,883
Toys,S002,01-19-2022,880
Electronics,S002,01-19-2022,691
Furniture,S002,01-19-2022,253
Clothing,S002,01-19-2022,668
Groceries,S003,01-19-2022,916
Toys,S003,01-19-2022,648
Clothing,S003,01-19-2022,386
Electronics,S003,01-19-2022,444
Furniture,S003,01-19-2022,362
Clothing,S004,01-19-2022,468
Groceries,S004,01-19-2022,644
Furniture,S004,01-19-2022,476
Electronics,S004,01-19-2022,313
Furniture,S005,01-19-2022,562
Electronics,S005,01-19-2022,1037
Groceries,S005,01-19-2022,527
Toys,S005,01-19-2022,818
Clothing,S005,01-19-2022,173
Furniture,S001,01-20-2022,728
Toys,S001,01-20-2022,902
Groceries,S001,01-20-2022,582
Electronics,S001,01-20-2022,662
Clothing,S001,01-20-2022,256
Groceries,S002,01-20-2022,955
Toys,S002,01-20-2022,716
Electronics,S002,01-20-2022,337
Furniture,S002,01-20-2022,619
Clothing,S002,01-20-2022,334
Furniture,S003,01-20-2022,540
Electronics,S003,01-20-2022,636
Toys,S003,01-20-2022,1249
Clothing,S003,01-20-2022,209
Groceries,S003,01-20-2022,652
Toys,S004,01-20-2022,703
Furniture,S004,01-20-2022,1120
Clothing,S004,01-20-2022,400
Electronics,S004,01-20-2022,484
Clothing,S005,01-20-2022,511
Electronics,S005,01-20-2022,587
Groceries,S005,01-20-2022,80
Toys,S005,01-20-2022,867
Furniture,S005,01-20-2022,465
Clothing,S001,01-21-2022,463
Groceries,S001,01-21-2022,476
Electronics,S001,01-21-2022,897
Toys,S001,01-21-2022,220
Furniture,S001,01-21-2022,259
Clothing,S002,01-21-2022,548
Electronics,S002,01-21-2022,1626
Groceries,S002,01-21-2022,276
Toys,S002,01-21-2022,72
Furniture,S002,01-21-2022,362
Electronics,S003,01-21-2022,1197
Furniture,S003,01-21-2022,669
Clothing,S003,01-21-2022,530
Toys,S003,01-21-2022,378
Groceries,S003,01-21-2022,133
Clothing,S004,01-21-2022,580
Groceries,S004,01-21-2022,292
Furniture,S004,01-21-2022,790
Electronics,S004,01-21-2022,141
Toys,S004,01-21-2022,1107
Groceries,S005,01-21-2022,623
Electronics,S005,01-21-2022,628
Clothing,S005,01-21-2022,81
Furniture,S005,01-21-2022,241
Toys,S005,01-21-2022,57
Electronics,S001,01-22-2022,333
Groceries,S001,01-22-2022,1065
Toys,S001,01-22-2022,427
Furniture,S001,01-22-2022,1028
Electronics,S002,01-22-2022,663
Clothing,S002,01-22-2022,1005
Furniture,S002,01-22-2022,510
Toys,S002,01-22-2022,324
Furniture,S003,01-22-2022,474
Clothing,S003,01-22-2022,543
Groceries,S003,01-22-2022,653
Electronics,S003,01-22-2022,501
Toys,S003,01-22-2022,1021
Clothing,S004,01-22-2022,1222
Toys,S004,01-22-2022,131
Electronics,S004,01-22-2022,418
Groceries,S004,01-22-2022,553
Furniture,S004,01-22-2022,380
Groceries,S005,01-22-2022,82
Furniture,S005,01-22-2022,1832
Electronics,S005,01-22-2022,705
Clothing,S005,01-22-2022,539
Toys,S005,01-22-2022,421
Furniture,S001,01-23-2022,558
Groceries,S001,01-23-2022,321
Toys,S001,01-23-2022,287
Clothing,S001,01-23-2022,194
Electronics,S001,01-23-2022,85
Clothing,S002,01-23-2022,381
Furniture,S002,01-23-2022,1352
Toys,S002,01-23-2022,553
Electronics,S002,01-23-2022,484
Groceries,S002,01-23-2022,175
Toys,S003,01-23-2022,527
Groceries,S003,01-23-2022,769
Furniture,S003,01-23-2022,471
Clothing,S003,01-23-2022,750
Electronics,S003,01-23-2022,535
Clothing,S004,01-23-2022,704
Toys,S004,01-23-2022,732
Electronics,S004,01-23-2022,626
Groceries,S004,01-23-2022,556
Furniture,S004,01-23-2022,64
Furniture,S005,01-23-2022,641
Toys,S005,01-23-2022,698
Groceries,S005,01-23-2022,242
Clothing,S005,01-23-2022,718
Electronics,S005,01-23-2022,227
Toys,S001,01-24-2022,358
Furniture,S001,01-24-2022,521
Groceries,S001,01-24-2022,268
Electronics,S001,01-24-2022,634
Clothing,S001,01-24-2022,145
Electronics,S002,01-24-2022,789
Furniture,S002,01-24-2022,718
Clothing,S002,01-24-2022,536
Groceries,S002,01-24-2022,79
Toys,S002,01-24-2022,87
Clothing,S003,01-24-2022,245
Furniture,S003,01-24-2022,832
Groceries,S003,01-24-2022,501
Electronics,S003,01-24-2022,226
Clothing,S004,01-24-2022,492
Electronics,S004,01-24-2022,1235
Furniture,S004,01-24-2022,270
Groceries,S004,01-24-2022,237
Toys,S004,01-24-2022,705
Groceries,S005,01-24-2022,266
Furniture,S005,01-24-2022,781
Toys,S005,01-24-2022,551
Clothing,S005,01-24-2022,593
Electronics,S005,01-24-2022,208
Furniture,S001,01-25-2022,549
Groceries,S001,01-25-2022,420
Toys,S001,01-25-2022,752
Clothing,S001,01-25-2022,740
Electronics,S001,01-25-2022,72
Clothing,S002,01-25-2022,824
Toys,S002,01-25-2022,177
Electronics,S002,01-25-2022,627
Groceries,S002,01-25-2022,914
Furniture,S002,01-25-2022,585
Toys,S003,01-25-2022,522
Furniture,S003,01-25-2022,554
Clothing,S003,01-25-2022,561
Electronics,S003,01-25-2022,363
Groceries,S003,01-25-2022,450
Toys,S004,01-25-2022,672
Electronics,S004,01-25-2022,1140
Clothing,S004,01-25-2022,596
Groceries,S004,01-25-2022,527
Furniture,S004,01-25-2022,342
Electronics,S005,01-25-2022,405
Clothing,S005,01-25-2022,391
Furniture,S005,01-25-2022,1170
Groceries,S005,01-25-2022,535
Toys,S005,01-25-2022,57
Clothing,S001,01-26-2022,190
Toys,S001,01-26-2022,421
Furniture,S001,01-26-2022,533
Electronics,S001,01-26-2022,492
Groceries,S001,01-26-2022,696
Electronics,S002,01-26-2022,1095
Furniture,S002,01-26-2022,499
Toys,S002,01-26-2022,1161
Groceries,S002,01-26-2022,282
Clothing,S002,01-26-2022,182
Clothing,S003,01-26-2022,689
Toys,S003,01-26-2022,660
Electronics,S003,01-26-2022,6
Furniture,S003,01-26-2022,439
Groceries,S003,01-26-2022,1144
Toys,S004,01-26-2022,492
Groceries,S004,01-26-2022,622
Furniture,S004,01-26-2022,211
Clothing,S004,01-26-2022,649
Electronics,S004,01-26-2022,302
Furniture,S005,01-26-2022,868
Groceries,S005,01-26-2022,510
Electronics,S005,01-26-2022,509
Clothing,S005,01-26-2022,795
Toys,S005,01-26-2022,233
Furniture,S001,01-27-2022,1016
Toys,S001,01-27-2022,557
Electronics,S001,01-27-2022,473
Groceries,S001,01-27-2022,85
Clothing,S001,01-27-2022,199
Groceries,S002,01-27-2022,917
Electronics,S002,01-27-2022,551
Toys,S002,01-27-2022,954
Clothing,S002,01-27-2022,42
Electronics,S003,01-27-2022,615
Clothing,S003,01-27-2022,1236
Furniture,S003,01-27-2022,471
Groceries,S003,01-27-2022,303
Toys,S003,01-27-2022,132
Clothing,S004,01-27-2022,1467
Furniture,S004,01-27-2022,993
Toys,S004,01-27-2022,263
Electronics,S004,01-27-2022,207
Groceries,S004,01-27-2022,751
Furniture,S005,01-27-2022,675
Groceries,S005,01-27-2022,465
Electronics,S005,01-27-2022,530
Toys,S005,01-27-2022,534
Clothing,S005,01-27-2022,325
Furniture,S001,01-28-2022,503
Groceries,S001,01-28-2022,766
Clothing,S001,01-28-2022,169
Electronics,S001,01-28-2022,300
Toys,S001,01-28-2022,400
Groceries,S002,01-28-2022,880
Furniture,S002,01-28-2022,835
Electronics,S002,01-28-2022,208
Clothing,S002,01-28-2022,340
Toys,S002,01-28-2022,592
Clothing,S003,01-28-2022,722
Furniture,S003,01-28-2022,395
Toys,S003,01-28-2022,657
Electronics,S003,01-28-2022,924
Groceries,S003,01-28-2022,251
Clothing,S004,01-28-2022,54
Furniture,S004,01-28-2022,1311
Groceries,S004,01-28-2022,322
Electronics,S004,01-28-2022,514
Toys,S004,01-28-2022,188
Electronics,S005,01-28-2022,728
Groceries,S005,01-28-2022,603
Furniture,S005,01-28-2022,914
Clothing,S005,01-28-2022,183
Toys,S005,01-28-2022,403
Furniture,S001,01-29-2022,333
Groceries,S001,01-29-2022,441
Electronics,S001,01-29-2022,460
Clothing,S001,01-29-2022,680
Toys,S001,01-29-2022,247
Electronics,S002,01-29-2022,714
Groceries,S002,01-29-2022,396
Furniture,S002,01-29-2022,610
Clothing,S002,01-29-2022,535
Toys,S002,01-29-2022,269
Furniture,S003,01-29-2022,495
Electronics,S003,01-29-2022,193
Groceries,S003,01-29-2022,1303
Toys,S003,01-29-2022,699
Clothing,S003,01-29-2022,483
Toys,S004,01-29-2022,494
Clothing,S004,01-29-2022,381
Groceries,S004,01-29-2022,351
Furniture,S004,01-29-2022,446
Electronics,S004,01-29-2022,905
Toys,S005,01-29-2022,640
Furniture,S005,01-29-2022,457
Groceries,S005,01-29-2022,230
Clothing,S005,01-29-2022,465
Electronics,S005,01-29-2022,942
Furniture,S001,01-30-2022,1180
Toys,S001,01-30-2022,728
Electronics,S001,01-30-2022,919
Groceries,S001,01-30-2022,47
Clothing,S001,01-30-2022,185
Toys,S002,01-30-2022,640
Electronics,S002,01-30-2022,1219
Furniture,S002,01-30-2022,566
Clothing,S002,01-30-2022,83
Groceries,S002,01-30-2022,615
Toys,S003,01-30-2022,209
Furniture,S003,01-30-2022,265
Groceries,S003,01-30-2022,509
Electronics,S003,01-30-2022,205
Clothing,S003,01-30-2022,657
Electronics,S004,01-30-2022,1017
Groceries,S004,01-30-2022,771
Clothing,S004,01-30-2022,388
Toys,S004,01-30-2022,432
Furniture,S004,01-30-2022,368
Electronics,S005,01-30-2022,472
Clothing,S005,01-30-2022,524
Toys,S005,01-30-2022,158
Groceries,S005,01-30-2022,1361
Furniture,S005,01-30-2022,476
Clothing,S001,01-31-2022,613
Electronics,S001,01-31-2022,1239
Toys,S001,01-31-2022,631
Furniture,S001,01-31-2022,275
Groceries,S001,01-31-2022,314
Furniture,S002,01-31-2022,588
Electronics,S002,01-31-2022,953
Clothing,S002,01-31-2022,512
Toys,S002,01-31-2022,567
Groceries,S002,01-31-2022,619
Furniture,S003,01-31-2022,601
Clothing,S003,01-31-2022,566
Groceries,S003,01-31-2022,469
Electronics,S003,01-31-2022,472
Toys,S003,01-31-2022,216
Toys,S004,01-31-2022,248
Clothing,S004,01-31-2022,439
Electronics,S004,01-31-2022,194
Furniture,S004,01-31-2022,939
Groceries,S004,01-31-2022,178
Furniture,S005,01-31-2022,329
Groceries,S005,01-31-2022,601
Electronics,S005,01-31-2022,799
Toys,S005,01-31-2022,735
Clothing,S005,01-31-2022,90
Groceries,S001,02-01-2022,746
Furniture,S001,02-01-2022,311
Clothing,S001,02-01-2022,829
Electronics,S001,02-01-2022,479
Toys,S001,02-01-2022,114
Furniture,S002,02-01-2022,844
Clothing,S002,02-01-2022,445
Groceries,S002,02-01-2022,346
Electronics,S002,02-01-2022,302
Toys,S002,02-01-2022,681
Electronics,S003,02-01-2022,1159
Toys,S003,02-01-2022,453
Groceries,S003,02-01-2022,137
Clothing,S003,02-01-2022,611
Furniture,S003,02-01-2022,603
Toys,S004,02-01-2022,1487
Furniture,S004,02-01-2022,307
Clothing,S004,02-01-2022,357
Electronics,S004,02-01-2022,339
Groceries,S004,02-01-2022,274
Clothing,S005,02-01-2022,352
Electronics,S005,02-01-2022,368
Furniture,S005,02-01-2022,1521
Groceries,S005,02-01-2022,766
Toys,S005,02-01-2022,21
Electronics,S001,02-02-2022,1384
Furniture,S001,02-02-2022,520
Toys,S001,02-02-2022,417
Groceries,S001,02-02-2022,377
Clothing,S001,02-02-2022,382
Clothing,S002,02-02-2022,485
Furniture,S002,02-02-2022,305
Toys,S002,02-02-2022,1627
Groceries,S002,02-02-2022,582
Electronics,S002,02-02-2022,358
Electronics,S003,02-02-2022,1127
Groceries,S003,02-02-2022,673
Furniture,S003,02-02-2022,5
Clothing,S003,02-02-2022,475
Toys,S003,02-02-2022,614
Clothing,S004,02-02-2022,1342
Electronics,S004,02-02-2022,932
Furniture,S004,02-02-2022,280
Toys,S004,02-02-2022,388
Groceries,S004,02-02-2022,146
Furniture,S005,02-02-2022,501
Groceries,S005,02-02-2022,638
Clothing,S005,02-02-2022,230
Electronics,S005,02-02-2022,209
Toys,S005,02-02-2022,550
Clothing,S001,02-03-2022,409
Electronics,S001,02-03-2022,193
Toys,S001,02-03-2022,418
Groceries,S001,02-03-2022,275
Furniture,S001,02-03-2022,434
Electronics,S002,02-03-2022,489
Toys,S002,02-03-2022,861
Furniture,S002,02-03-2022,649
Clothing,S002,02-03-2022,513
Groceries,S002,02-03-2022,230
Electronics,S003,02-03-2022,1097
Clothing,S003,02-03-2022,647
Furniture,S003,02-03-2022,339
Groceries,S003,02-03-2022,528
Toys,S003,02-03-2022,349
Toys,S004,02-03-2022,350
Electronics,S004,02-03-2022,663
