product,city,date,sales,discount_pct,weather_condition,is_holiday,seasonality
Clothing,Delhi,01-02-2022,464,10,Snowy,0,Summer
Groceries,Delhi,01-02-2022,116,5,Snowy,0,Summer
Clothing,Delhi,01-02-2022,74,5,Cloudy,0,Autumn
Toys,Delhi,01-02-2022,54,20,Cloudy,0,Spring
Clothing,Delhi,01-02-2022,39,5,Sunny,0,Summer
Toys,Delhi,01-02-2022,31,15,Cloudy,1,Autumn
Toys,Delhi,01-02-2022,42,5,Snowy,0,Summer
Groceries,Mumbai,01-02-2022,157,5,Snowy,1,Autumn
Groceries,Mumbai,01-02-2022,88,0,Snowy,0,Spring
Groceries,Mumbai,01-02-2022,64,5,Cloudy,1,Spring
Groceries,Mumbai,01-02-2022,273,0,Rainy,0,Autumn
Groceries,Mumbai,01-02-2022,247,15,Snowy,0,Summer
Groceries,Mumbai,01-02-2022,374,15,Cloudy,1,Spring
Toys,Mumbai,01-02-2022,236,20,Rainy,0,Autumn
Toys,Mumbai,01-02-2022,278,10,Sunny,1,Summer
Toys,Mumbai,01-02-2022,106,0,Cloudy,1,Winter
Toys,Mumbai,01-02-2022,154,10,Sunny,0,Autumn
Clothing,Mumbai,01-02-2022,176,5,Rainy,1,Autumn
Groceries,Mumbai,01-02-2022,124,10,Sunny,0,Autumn
Toys,Mumbai,01-02-2022,479,0,Cloudy,0,Winter
Clothing,Mumbai,01-02-2022,78,0,Sunny,1,Summer
Toys,Bangalore,01-02-2022,114,10,Cloudy,0,Autumn
Groceries,Bangalore,01-02-2022,2,0,Rainy,0,Autumn
Toys,Bangalore,01-02-2022,7,20,Cloudy,1,Autumn
Groceries,Bangalore,01-02-2022,93,0,Cloudy,0,Winter
Clothing,Bangalore,01-02-2022,136,5,Rainy,0,Spring
Groceries,Bangalore,01-02-2022,1,5,Snowy,1,Winter
Toys,Bangalore,01-02-2022,368,0,Cloudy,0,Spring
Clothing,Bangalore,01-02-2022,69,20,Rainy,0,Spring
Toys,Bangalore,01-02-2022,52,20,Snowy,0,Summer
Toys,Bangalore,01-02-2022,109,10,Rainy,1,Winter
Clothing,Delhi,01-03-2022,199,0,Cloudy,0,Spring
Toys,Delhi,01-03-2022,176,10,Rainy,0,Winter
Groceries,Delhi,01-03-2022,165,0,Sunny,0,Spring
Clothing,Delhi,01-03-2022,140,20,Sunny,0,Winter
Groceries,Delhi,01-03-2022,177,5,Snowy,0,Autumn
Groceries,Delhi,01-03-2022,217,20,Sunny,0,Winter
Groceries,Delhi,01-03-2022,3,0,Cloudy,0,Autumn
Clothing,Delhi,01-03-2022,2,15,Cloudy,0,Summer
Clothing,Delhi,01-03-2022,18,10,Snowy,1,Summer
Toys,Delhi,01-03-2022,242,10,Rainy,1,Winter
Toys,Delhi,01-03-2022,228,10,Sunny,1,Summer
Clothing,Delhi,01-03-2022,31,15,Snowy,1,Spring
Clothing,Delhi,01-03-2022,16,5,Sunny,0,Spring
Toys,Delhi,01-03-2022,118,20,Cloudy,1,Summer
Toys,Mumbai,01-03-2022,96,0,Rainy,1,Autumn
Groceries,Mumbai,01-03-2022,11,10,Snowy,1,Autumn
Groceries,Mumbai,01-03-2022,313,0,Snowy,1,Winter
Toys,Mumbai,01-03-2022,265,5,Rainy,0,Autumn
Groceries,Mumbai,01-03-2022,191,0,Cloudy,0,Summer
Clothing,Mumbai,01-03-2022,143,20,Snowy,1,Autumn
Groceries,Mumbai,01-03-2022,270,10,Cloudy,0,Summer
Groceries,Mumbai,01-03-2022,233,0,Rainy,1,Spring
Toys,Mumbai,01-03-2022,234,10,Rainy,1,Autumn
Clothing,Mumbai,01-03-2022,213,20,Rainy,1,Autumn
Clothing,Mumbai,01-03-2022,55,15,Rainy,1,Winter
Groceries,Mumbai,01-03-2022,22,10,Sunny,0,Spring
Clothing,Bangalore,01-03-2022,100,10,Sunny,1,Autumn
Groceries,Bangalore,01-03-2022,353,0,Cloudy,1,Spring
Clothing,Bangalore,01-03-2022,154,15,Sunny,0,Autumn
Clothing,Bangalore,01-03-2022,147,0,Cloudy,1,Spring
Toys,Bangalore,01-03-2022,289,15,Cloudy,0,Summer
Toys,Bangalore,01-03-2022,179,0,Snowy,1,Winter
Clothing,Bangalore,01-03-2022,209,5,Sunny,0,Spring
Toys,Bangalore,01-03-2022,109,20,Rainy,1,Summer
Groceries,Bangalore,01-03-2022,43,0,Rainy,1,Spring
Toys,Bangalore,01-03-2022,58,10,Rainy,1,Autumn
Clothing,Bangalore,01-03-2022,95,20,Rainy,0,Winter
Clothing,Bangalore,01-03-2022,296,5,Snowy,0,Spring
Clothing,Bangalore,01-03-2022,103,5,Cloudy,0,Autumn
Toys,Bangalore,01-03-2022,131,15,Cloudy,0,Autumn
Groceries,Delhi,01-04-2022,58,15,Cloudy,1,Winter
Toys,Delhi,01-04-2022,70,15,Cloudy,0,Winter
Clothing,Delhi,01-04-2022,8,20,Cloudy,0,Spring
Groceries,Delhi,01-04-2022,341,5,Cloudy,0,Spring
Groceries,Delhi,01-04-2022,15,10,Sunny,0,Summer
Toys,Delhi,01-04-2022,85,20,Rainy,0,Autumn
Toys,Delhi,01-04-2022,30,0,Sunny,0,Spring
Toys,Delhi,01-04-2022,31,10,Sunny,0,Winter
Clothing,Delhi,01-04-2022,7,15,Cloudy,1,Spring
Groceries,Delhi,01-04-2022,28,10,Sunny,0,Summer
Toys,Delhi,01-04-2022,348,0,Cloudy,1,Autumn
Groceries,Delhi,01-04-2022,258,5,Sunny,1,Summer
Toys,Delhi,01-04-2022,41,15,Sunny,1,Autumn
Clothing,Mumbai,01-04-2022,83,5,Sunny,1,Spring
Toys,Mumbai,01-04-2022,448,15,Rainy,0,Winter
Toys,Mumbai,01-04-2022,11,0,Sunny,1,Summer
Groceries,Mumbai,01-04-2022,390,10,Snowy,0,Spring
Clothing,Mumbai,01-04-2022,81,0,Sunny,0,Summer
Groceries,Mumbai,01-04-2022,44,20,Rainy,0,Spring
Toys,Mumbai,01-04-2022,88,15,Cloudy,0,Winter
Groceries,Mumbai,01-04-2022,142,15,Rainy,1,Autumn
Toys,Mumbai,01-04-2022,48,20,Snowy,1,Summer
Toys,Mumbai,01-04-2022,390,15,Cloudy,1,Summer
Toys,Mumbai,01-04-2022,91,5,Rainy,0,Summer
Groceries,Mumbai,01-04-2022,32,10,Snowy,0,Winter
Clothing,Mumbai,01-04-2022,206,15,Sunny,1,Winter
Groceries,Mumbai,01-04-2022,108,10,Sunny,1,Summer
Toys,Bangalore,01-04-2022,34,10,Snowy,0,Summer
Clothing,Bangalore,01-04-2022,165,10,Rainy,0,Summer
Groceries,Bangalore,01-04-2022,2,5,Rainy,0,Summer
Toys,Bangalore,01-04-2022,76,10,Snowy,1,Spring
Toys,Bangalore,01-04-2022,91,5,Rainy,1,Summer
Toys,Bangalore,01-04-2022,116,10,Sunny,0,Autumn
Clothing,Bangalore,01-04-2022,79,0,Sunny,1,Spring
Toys,Bangalore,01-04-2022,236,0,Rainy,0,Winter
Toys,Bangalore,01-04-2022,309,20,Cloudy,0,Autumn
Groceries,Bangalore,01-04-2022,32,0,Rainy,0,Summer
Clothing,Bangalore,01-04-2022,44,15,Snowy,1,Winter
Groceries,Delhi,01-05-2022,147,20,Sunny,1,Winter
Toys,Delhi,01-05-2022,220,10,Rainy,0,Spring
Toys,Delhi,01-05-2022,97,5,Rainy,1,Summer
Toys,Delhi,01-05-2022,158,0,Rainy,1,Winter
Groceries,Delhi,01-05-2022,8,5,Cloudy,0,Autumn
Groceries,Delhi,01-05-2022,44,5,Sunny,1,Spring
Toys,Delhi,01-05-2022,57,0,Snowy,0,Summer
Toys,Delhi,01-05-2022,161,15,Rainy,1,Autumn
Toys,Delhi,01-05-2022,172,20,Rainy,1,Winter
Groceries,Delhi,01-05-2022,132,15,Rainy,0,Autumn
Groceries,Delhi,01-05-2022,17,10,Snowy,0,Spring
Toys,Delhi,01-05-2022,11,10,Rainy,0,Winter
Clothing,Mumbai,01-05-2022,209,0,Cloudy,1,Spring
Groceries,Mumbai,01-05-2022,24,5,Cloudy,0,Spring
Groceries,Mumbai,01-05-2022,20,5,Rainy,1,Winter
Clothing,Mumbai,01-05-2022,148,0,Cloudy,1,Autumn
Toys,Mumbai,01-05-2022,100,5,Cloudy,1,Spring
Toys,Mumbai,01-05-2022,129,20,Snowy,0,Autumn
Groceries,Mumbai,01-05-2022,262,5,Rainy,0,Summer
Toys,Mumbai,01-05-2022,200,15,Cloudy,1,Spring
Groceries,Mumbai,01-05-2022,56,10,Sunny,1,Spring
Clothing,Mumbai,01-05-2022,24,20,Cloudy,0,Summer
Groceries,Mumbai,01-05-2022,294,15,Snowy,0,Summer
Groceries,Mumbai,01-05-2022,142,15,Cloudy,1,Autumn
Groceries,Bangalore,01-05-2022,189,20,Cloudy,0,Winter
Toys,Bangalore,01-05-2022,77,20,Snowy,1,Spring
Clothing,Bangalore,01-05-2022,66,10,Rainy,1,Summer
Clothing,Bangalore,01-05-2022,95,10,Sunny,0,Winter
Toys,Bangalore,01-05-2022,132,5,Cloudy,0,Winter
Toys,Bangalore,01-05-2022,30,15,Snowy,1,Autumn
Toys,Bangalore,01-05-2022,28,0,Snowy,0,Summer
Groceries,Bangalore,01-05-2022,38,15,Cloudy,0,Spring
Toys,Bangalore,01-05-2022,149,0,Sunny,1,Winter
Groceries,Bangalore,01-05-2022,192,10,Rainy,0,Autumn
Toys,Delhi,01-06-2022,58,20,Sunny,0,Autumn
Groceries,Delhi,01-06-2022,120,0,Snowy,1,Autumn
Toys,Delhi,01-06-2022,2,0,Rainy,1,Autumn
Clothing,Delhi,01-06-2022,171,10,Cloudy,0,Spring
Clothing,Delhi,01-06-2022,97,15,Cloudy,1,Winter
Toys,Delhi,01-06-2022,177,20,Cloudy,1,Spring
Groceries,Delhi,01-06-2022,1,0,Rainy,0,Spring
Clothing,Delhi,01-06-2022,429,10,Cloudy,1,Autumn
Clothing,Delhi,01-06-2022,2,0,Rainy,0,Winter
Toys,Mumbai,01-06-2022,23,15,Cloudy,1,Winter
Clothing,Mumbai,01-06-2022,65,0,Rainy,0,Autumn
Groceries,Mumbai,01-06-2022,62,5,Rainy,0,Autumn
Clothing,Mumbai,01-06-2022,76,10,Rainy,1,Autumn
Toys,Mumbai,01-06-2022,136,5,Rainy,0,Autumn
Groceries,Mumbai,01-06-2022,244,5,Snowy,0,Summer
Toys,Mumbai,01-06-2022,173,10,Cloudy,1,Spring
Toys,Mumbai,01-06-2022,330,15,Sunny,0,Autumn
Clothing,Mumbai,01-06-2022,95,20,Sunny,0,Summer
Groceries,Mumbai,01-06-2022,144,5,Snowy,0,Spring
Groceries,Mumbai,01-06-2022,350,10,Cloudy,0,Autumn
Groceries,Mumbai,01-06-2022,240,15,Cloudy,1,Summer
Groceries,Mumbai,01-06-2022,57,0,Rainy,1,Winter
Clothing,Mumbai,01-06-2022,57,15,Rainy,1,Autumn
Clothing,Mumbai,01-06-2022,203,10,Cloudy,1,Autumn
Toys,Bangalore,01-06-2022,211,5,Cloudy,1,Summer
Toys,Bangalore,01-06-2022,243,0,Sunny,1,Spring
Clothing,Bangalore,01-06-2022,7,0,Cloudy,0,Winter
Clothing,Bangalore,01-06-2022,18,15,Rainy,0,Spring
Clothing,Bangalore,01-06-2022,144,10,Sunny,0,Summer
Toys,Bangalore,01-06-2022,61,10,Cloudy,1,Spring
Groceries,Bangalore,01-06-2022,316,0,Rainy,1,Spring
Toys,Bangalore,01-06-2022,162,0,Cloudy,1,Summer
Clothing,Delhi,01-07-2022,115,5,Rainy,0,Winter
Clothing,Delhi,01-07-2022,92,15,Cloudy,0,Spring
Clothing,Delhi,01-07-2022,429,10,Rainy,1,Summer
Clothing,Delhi,01-07-2022,64,20,Rainy,0,Summer
Groceries,Delhi,01-07-2022,20,0,Cloudy,0,Autumn
Clothing,Delhi,01-07-2022,102,10,Snowy,1,Summer
Groceries,Delhi,01-07-2022,118,20,Snowy,0,Summer
Toys,Delhi,01-07-2022,71,10,Snowy,0,Summer
Clothing,Delhi,01-07-2022,161,5,Sunny,1,Autumn
Toys,Delhi,01-07-2022,87,15,Cloudy,1,Winter
Toys,Delhi,01-07-2022,46,0,Rainy,1,Winter
Toys,Mumbai,01-07-2022,150,5,Snowy,0,Spring
Groceries,Mumbai,01-07-2022,114,15,Snowy,0,Summer
Toys,Mumbai,01-07-2022,68,20,Cloudy,0,Summer
Toys,Mumbai,01-07-2022,46,10,Cloudy,1,Spring
Groceries,Mumbai,01-07-2022,117,15,Rainy,0,Summer
Groceries,Mumbai,01-07-2022,116,5,Cloudy,1,Summer
Clothing,Mumbai,01-07-2022,53,10,Rainy,1,Spring
Toys,Mumbai,01-07-2022,137,20,Cloudy,0,Winter
Groceries,Mumbai,01-07-2022,122,10,Rainy,0,Autumn
Groceries,Mumbai,01-07-2022,86,10,Snowy,0,Summer
Clothing,Bangalore,01-07-2022,39,15,Rainy,1,Autumn
Clothing,Bangalore,01-07-2022,4,0,Sunny,1,Summer
Toys,Bangalore,01-07-2022,298,20,Rainy,1,Autumn
Groceries,Bangalore,01-07-2022,177,10,Sunny,1,Summer
Clothing,Bangalore,01-07-2022,52,5,Cloudy,1,Winter
Groceries,Bangalore,01-07-2022,59,5,Sunny,1,Autumn
Groceries,Bangalore,01-07-2022,48,15,Snowy,1,Spring
Toys,Bangalore,01-07-2022,71,20,Sunny,0,Autumn
Clothing,Bangalore,01-07-2022,12,20,Snowy,1,Winter
Toys,Bangalore,01-07-2022,20,5,Snowy,0,Spring
Groceries,Delhi,01-08-2022,33,5,Rainy,0,Autumn
Toys,Delhi,01-08-2022,79,0,Rainy,0,Summer
Groceries,Delhi,01-08-2022,217,10,Rainy,1,Summer
Toys,Delhi,01-08-2022,58,20,Cloudy,0,Summer
Groceries,Delhi,01-08-2022,255,5,Sunny,0,Spring
Clothing,Delhi,01-08-2022,248,15,Rainy,1,Winter
Groceries,Delhi,01-08-2022,151,15,Cloudy,1,Winter
Groceries,Mumbai,01-08-2022,341,20,Rainy,1,Summer
Toys,Mumbai,01-08-2022,134,10,Cloudy,0,Spring
Groceries,Mumbai,01-08-2022,298,20,Cloudy,0,Autumn
Toys,Mumbai,01-08-2022,107,10,Cloudy,1,Summer
Groceries,Mumbai,01-08-2022,233,10,Cloudy,0,Summer
Groceries,Mumbai,01-08-2022,241,0,Sunny,0,Spring
Toys,Mumbai,01-08-2022,23,10,Rainy,1,Autumn
Clothing,Mumbai,01-08-2022,13,20,Rainy,1,Winter
Clothing,Mumbai,01-08-2022,25,10,Cloudy,0,Winter
Toys,Mumbai,01-08-2022,117,10,Rainy,0,Summer
Clothing,Mumbai,01-08-2022,34,20,Cloudy,1,Spring
Groceries,Mumbai,01-08-2022,153,15,Sunny,0,Spring
Clothing,Mumbai,01-08-2022,351,0,Cloudy,0,Summer
Toys,Mumbai,01-08-2022,285,15,Rainy,1,Autumn
Toys,Mumbai,01-08-2022,188,5,Rainy,0,Autumn
Clothing,Bangalore,01-08-2022,264,20,Snowy,1,Autumn
Clothing,Bangalore,01-08-2022,250,0,Cloudy,1,Autumn
Clothing,Bangalore,01-08-2022,189,10,Rainy,1,Autumn
Groceries,Bangalore,01-08-2022,324,0,Sunny,1,Winter
Clothing,Bangalore,01-08-2022,454,5,Sunny,0,Autumn
Groceries,Bangalore,01-08-2022,6,20,Snowy,1,Spring
Groceries,Bangalore,01-08-2022,11,0,Sunny,1,Summer
Clothing,Bangalore,01-08-2022,36,10,Cloudy,1,Spring
Toys,Bangalore,01-08-2022,61,10,Snowy,0,Autumn
Toys,Bangalore,01-08-2022,66,0,Snowy,0,Winter
Clothing,Delhi,01-09-2022,9,15,Cloudy,1,Spring
Toys,Delhi,01-09-2022,153,5,Sunny,1,Autumn
Groceries,Delhi,01-09-2022,5,15,Snowy,0,Summer
Toys,Delhi,01-09-2022,343,0,Sunny,0,Spring
Groceries,Delhi,01-09-2022,45,5,Rainy,0,Winter
Clothing,Delhi,01-09-2022,194,10,Snowy,0,Autumn
Clothing,Delhi,01-09-2022,169,20,Cloudy,1,Spring
Toys,Delhi,01-09-2022,40,15,Cloudy,1,Summer
Groceries,Delhi,01-09-2022,106,5,Cloudy,1,Spring
Toys,Delhi,01-09-2022,85,20,Sunny,0,Spring
Toys,Delhi,01-09-2022,342,10,Snowy,1,Spring
Clothing,Delhi,01-09-2022,316,5,Rainy,0,Summer
Groceries,Delhi,01-09-2022,284,5,Snowy,0,Autumn
Toys,Delhi,01-09-2022,55,0,Cloudy,0,Spring
Groceries,Mumbai,01-09-2022,155,15,Cloudy,1,Winter
Toys,Mumbai,01-09-2022,29,5,Rainy,1,Winter
Toys,Mumbai,01-09-2022,242,20,Sunny,1,Autumn
Groceries,Mumbai,01-09-2022,71,5,Cloudy,1,Spring
Clothing,Mumbai,01-09-2022,237,15,Cloudy,0,Winter
Clothing,Mumbai,01-09-2022,334,10,Snowy,1,Winter
Toys,Mumbai,01-09-2022,87,5,Snowy,1,Summer
Clothing,Mumbai,01-09-2022,45,15,Sunny,0,Winter
Clothing,Mumbai,01-09-2022,391,15,Snowy,1,Winter
Clothing,Bangalore,01-09-2022,112,0,Snowy,0,Summer
Groceries,Bangalore,01-09-2022,337,5,Sunny,0,Autumn
Groceries,Bangalore,01-09-2022,98,10,Rainy,1,Summer
Toys,Bangalore,01-09-2022,65,15,Rainy,0,Spring
Clothing,Bangalore,01-09-2022,21,20,Cloudy,1,Summer
Clothing,Bangalore,01-09-2022,100,5,Cloudy,1,Autumn
Toys,Bangalore,01-09-2022,40,20,Rainy,0,Spring
Clothing,Bangalore,01-09-2022,48,5,Cloudy,1,Summer
Groceries,Bangalore,01-09-2022,116,15,Cloudy,1,Spring
Clothing,Bangalore,01-09-2022,55,20,Sunny,0,Spring
Clothing,Bangalore,01-09-2022,312,0,Snowy,0,Summer
Groceries,Bangalore,01-09-2022,169,10,Cloudy,1,Winter
Toys,Delhi,01-10-2022,183,5,Rainy,0,Autumn
Groceries,Delhi,01-10-2022,38,10,Snowy,0,Spring
Toys,Delhi,01-10-2022,59,20,Cloudy,1,Winter
Toys,Delhi,01-10-2022,151,5,Snowy,0,Spring
Clothing,Delhi,01-10-2022,323,0,Rainy,0,Autumn
Toys,Delhi,01-10-2022,138,0,Cloudy,1,Spring
Clothing,Delhi,01-10-2022,113,0,Snowy,0,Autumn
Clothing,Delhi,01-10-2022,88,0,Cloudy,1,Spring
Groceries,Delhi,01-10-2022,16,10,Cloudy,1,Spring
Clothing,Delhi,01-10-2022,284,10,Sunny,1,Autumn
Clothing,Delhi,01-10-2022,381,20,Sunny,0,Summer
Clothing,Delhi,01-10-2022,80,20,Snowy,1,Winter
Clothing,Delhi,01-10-2022,84,0,Cloudy,0,Spring
Clothing,Delhi,01-10-2022,65,5,Cloudy,0,Winter
Groceries,Mumbai,01-10-2022,42,5,Snowy,0,Autumn
Toys,Mumbai,01-10-2022,70,20,Cloudy,0,Autumn
Clothing,Mumbai,01-10-2022,54,20,Cloudy,0,Winter
Groceries,Mumbai,01-10-2022,36,5,Snowy,1,Winter
Toys,Mumbai,01-10-2022,229,5,Snowy,0,Winter
Toys,Mumbai,01-10-2022,94,5,Snowy,0,Summer
Groceries,Mumbai,01-10-2022,212,5,Cloudy,1,Winter
Toys,Mumbai,01-10-2022,178,20,Snowy,0,Winter
Toys,Mumbai,01-10-2022,345,10,Sunny,1,Summer
Clothing,Mumbai,01-10-2022,147,15,Sunny,1,Spring
Groceries,Mumbai,01-10-2022,73,10,Rainy,0,Autumn
Groceries,Mumbai,01-10-2022,293,10,Rainy,1,Spring
Toys,Mumbai,01-10-2022,31,10,Snowy,0,Spring
Groceries,Mumbai,01-10-2022,259,5,Rainy,1,Summer
Toys,Bangalore,01-10-2022,57,15,Rainy,1,Spring
Clothing,Bangalore,01-10-2022,79,5,Rainy,1,Autumn
Clothing,Bangalore,01-10-2022,92,0,Snowy,0,Spring
Groceries,Bangalore,01-10-2022,248,20,Rainy,0,Autumn
Toys,Bangalore,01-10-2022,89,10,Cloudy,1,Autumn
Clothing,Bangalore,01-10-2022,120,0,Sunny,1,Winter
Groceries,Bangalore,01-10-2022,79,20,Rainy,0,Autumn
Toys,Bangalore,01-10-2022,84,5,Rainy,1,Spring
Toys,Bangalore,01-10-2022,87,5,Cloudy,0,Winter
Clothing,Bangalore,01-10-2022,170,0,Cloudy,0,Summer
Clothing,Bangalore,01-10-2022,192,20,Cloudy,1,Summer
Toys,Delhi,01-11-2022,263,15,Sunny,1,Spring
Groceries,Delhi,01-11-2022,259,0,Sunny,1,Spring
Groceries,Delhi,01-11-2022,79,5,Rainy,1,Summer
Clothing,Delhi,01-11-2022,144,15,Snowy,0,Autumn
Toys,Delhi,01-11-2022,249,15,Rainy,0,Summer
Toys,Delhi,01-11-2022,3,20,Sunny,1,Winter
Toys,Delhi,01-11-2022,57,0,Sunny,0,Winter
Clothing,Delhi,01-11-2022,38,0,Rainy,1,Spring
Groceries,Delhi,01-11-2022,302,20,Sunny,1,Spring
Groceries,Delhi,01-11-2022,136,15,Sunny,1,Summer
Clothing,Delhi,01-11-2022,54,20,Cloudy,1,Spring
Clothing,Delhi,01-11-2022,410,0,Rainy,0,Winter
Toys,Delhi,01-11-2022,168,10,Cloudy,1,Autumn
Toys,Mumbai,01-11-2022,67,20,Sunny,0,Spring
Toys,Mumbai,01-11-2022,317,20,Snowy,0,Summer
Toys,Mumbai,01-11-2022,277,15,Rainy,0,Summer
Clothing,Mumbai,01-11-2022,326,5,Rainy,0,Summer
Clothing,Mumbai,01-11-2022,172,15,Sunny,0,Spring
Clothing,Mumbai,01-11-2022,314,0,Snowy,1,Autumn
Toys,Mumbai,01-11-2022,48,20,Cloudy,1,Autumn
Toys,Mumbai,01-11-2022,379,0,Rainy,0,Spring
Toys,Mumbai,01-11-2022,58,15,Rainy,0,Winter
Clothing,Mumbai,01-11-2022,274,5,Cloudy,1,Autumn
Toys,Mumbai,01-11-2022,110,10,Sunny,0,Winter
Clothing,Bangalore,01-11-2022,6,0,Sunny,0,Spring
Groceries,Bangalore,01-11-2022,94,0,Rainy,1,Spring
Toys,Bangalore,01-11-2022,70,5,Sunny,0,Autumn
Groceries,Bangalore,01-11-2022,53,15,Sunny,0,Autumn
Groceries,Bangalore,01-11-2022,201,20,Snowy,0,Spring
Toys,Bangalore,01-11-2022,405,0,Cloudy,0,Summer
Clothing,Bangalore,01-11-2022,6,20,Cloudy,0,Winter
Clothing,Bangalore,01-11-2022,58,15,Rainy,1,Autumn
Clothing,Bangalore,01-11-2022,22,20,Rainy,0,Summer
Clothing,Bangalore,01-11-2022,320,15,Sunny,0,Summer
Toys,Delhi,01-12-2022,104,0,Snowy,0,Winter
Toys,Delhi,01-12-2022,63,10,Snowy,0,Spring
Clothing,Delhi,01-12-2022,164,0,Cloudy,1,Autumn
Groceries,Delhi,01-12-2022,69,5,Sunny,0,Autumn
Toys,Delhi,01-12-2022,152,0,Sunny,1,Spring
Clothing,Delhi,01-12-2022,0,0,Cloudy,0,Autumn
Toys,Delhi,01-12-2022,3,0,Snowy,0,Spring
Clothing,Delhi,01-12-2022,146,20,Rainy,0,Spring
Groceries,Delhi,01-12-2022,106,15,Rainy,0,Spring
Groceries,Delhi,01-12-2022,18,10,Cloudy,0,Summer
Toys,Mumbai,01-12-2022,314,10,Snowy,0,Summer
Toys,Mumbai,01-12-2022,91,5,Snowy,1,Summer
Toys,Mumbai,01-12-2022,21,15,Rainy,1,Summer
Groceries,Mumbai,01-12-2022,75,5,Snowy,1,Spring
Clothing,Mumbai,01-12-2022,46,0,Sunny,1,Spring
Clothing,Mumbai,01-12-2022,105,15,Rainy,1,Spring
Groceries,Mumbai,01-12-2022,23,5,Snowy,0,Autumn
Groceries,Mumbai,01-12-2022,62,0,Cloudy,1,Autumn
Clothing,Mumbai,01-12-2022,33,15,Cloudy,1,Summer
Clothing,Mumbai,01-12-2022,159,15,Cloudy,0,Autumn
Clothing,Mumbai,01-12-2022,14,15,Sunny,0,Winter
Clothing,Mumbai,01-12-2022,52,15,Rainy,1,Summer
Toys,Bangalore,01-12-2022,168,20,Rainy,0,Winter
Groceries,Bangalore,01-12-2022,204,10,Sunny,1,Winter
Clothing,Bangalore,01-12-2022,8,0,Sunny,1,Summer
Clothing,Bangalore,01-12-2022,3,15,Cloudy,1,Autumn
Toys,Bangalore,01-12-2022,63,5,Cloudy,0,Summer
Groceries,Bangalore,01-12-2022,104,0,Snowy,1,Autumn
Clothing,Bangalore,01-12-2022,89,0,Snowy,1,Winter
Clothing,Bangalore,01-12-2022,10,15,Cloudy,1,Autumn
Groceries,Bangalore,01-12-2022,127,10,Snowy,1,Summer
Toys,Bangalore,01-12-2022,194,15,Rainy,1,Summer
